No.,年,平,小名浜,勿　来,常  磐,内　郷,四　倉,遠  野,小  川,好　間,三　和,田　人,川　前,久之浜･大久,計
1,M40.10.1,37769,17903,17311,9501,7306,10954,6495,3136,3049,4872,3093,1743,5645,128777
2,M41.10.1,39978,18267,17326,10179,8092,12344,6709,3236,3226,5149,3209,1767,6238,135720
3,M42.10.1,40449,18649,17688,10410,8670,12705,6767,3247,3347,5258,3253,1772,6346,138561
4,M43.10.1,40946,18842,18120,10577,8710,12891,6931,3224,3201,5294,3292,1996,6198,140222
5,M44.10.1,39427,19410,18502,10687,9688,14648,7124,3332,3834,5527,3369,2038,6365,143951
6,T1.10.1,41476,19560,18689,11598,10225,15547,7431,3456,6809,5645,3476,2164,6457,152533
7,T2.10.1,42741,19718,19479,11934,10363,14441,7139,3652,4272,5665,3567,2117,6518,151606
8,T3.10.1,43173,20284,20326,12487,11379,14723,7609,3655,4274,5768,3645,2214,6119,155656
9,T4.10.1,44097,20378,19977,13942,11560,14072,7673,3542,5308,5782,3660,2210,6330,158531
10,T5.10.1,47013,20687,20479,14790,11767,16201,7919,3467,5271,5899,3728,2277,6475,165973
11,T6.10.1,47332,20989,21241,14835,11932,15505,8003,3585,6155,5898,3853,2393,6420,168141
12,T7.10.1,49949,20293,22154,15663,17376,15400,8700,3878,10202,6159,3757,3201,6776,183508
13,T8.10.1,51596,20605,24624,15865,13855,15118,8824,3942,11680,6216,3991,3153,6917,186386
14,T9.10.1,53094,20945,25920,17193,15522,14340,9094,3951,18267,6136,4075,3108,6072,197717
15,T10.10.1,53448,21360,24818,18347,16095,13929,8934,4207,18005,6380,4200,3386,6039,199148
16,T11.10.1,53537,21808,24024,18189,16404,13830,8931,4236,18053,6362,4313,3566,6141,199394
17,T12.10.1,54782,22235,24151,20313,17625,14239,8704,3855,12299,6810,4398,3522,6110,199043
18,T13.10.1,54807,22917,25050,21989,17693,15007,8683,4000,11024,6798,4750,3500,6148,202366
19,T14.10.1,53491,20591,23973,24829,24515,16022,8901,3662,6280,7106,4638,3442,6500,203950
20,T15.10.1,54305,21384,23528,26145,25014,15804,8913,3834,6170,7062,4628,2956,6319,206062
21,S2.10.1,55400,21398,24004,24772,25041,15510,8684,3588,6700,7113,4756,2692,6529,206187
22,S3.10.1,54326,21715,23483,24749,24021,15697,8668,3929,10860,7366,4863,3530,6075,209282
23,S4.10.1,56120,22693,22229,25465,24093,15719,8694,3916,11030,7434,4942,2885,6070,211290
24,S5.10.1,57568,23523,23399,24653,28610,15530,8531,4090,11637,7014,4936,3052,6371,218914
25,S6.10.1,58185,24534,23573,23121,28693,15042,8553,3959,11665,7045,4903,3167,6247,218687
26,S7.10.1,58298,25308,23900,21930,28742,14912,8569,4023,11738,6748,4585,3048,6334,218135
27,S8.10.1,58518,25042,24230,23138,28522,14856,8437,4080,11853,6907,4589,3087,6226,219485
28,S9.10.1,58135,25568,24777,24098,30303,14997,8440,4196,12133,7070,4901,3022,6281,223921
29,S10.10.1,56728,27595,29874,25391,31302,15744,8563,4116,13559,7289,4917,3191,6448,234717
30,S11.10.1,49949,20293,22154,15663,17376,15400,8700,3878,10202,6159,3757,3201,6776,183508
31,S12.10.1,60503,29536,32380,27601,34856,15328,8538,4120,14207,7281,4687,3191,6263,248491
32,S13.10.1,61446,30606,34674,29305,35796,15428,8376,4122,15050,7304,4558,3219,6043,255927
33,S14.10.1,63729,32071,34461,30580,36601,15266,8505,4077,15566,7517,4669,2675,5658,261375
34,S15.10.1,60909,32328,36057,30631,33883,15563,8846,4337,15972,7060,5556,3030,6481,260653
35,S16.10.1,65224,33994,37791,31812,33788,16045,8746,4212,16914,7471,5893,2897,6483,271270
36,S17.10.1,65683,34337,40146,32572,34358,16228,9147,4255,16540,8970,6298,3180,6773,278487
37,S18.10.1,63377,36643,37915,33807,34358,16251,9227,4255,17648,8868,6382,2773,6821,278325
38,S19.10.1,60965,37113,39106,33470,32132,16416,9210,4401,17830,9014,5962,2955,7182,275756
39,S20.10.1,63597,37382,41056,31983,30372,19132,11448,5162,16393,8811,7013,3639,8995,284983
40,S21.10.1,64317,38776,41276,31772,29467,18970,11145,5184,17454,10181,7236,3588,8882,288248
41,S22.10.1,66921,44282,44716,35700,32097,20009,11118,5100,18965,10083,7411,3565,9324,309291
42,S23.10.1,69657,44664,47922,40005,36934,20381,11591,5253,20868,8535,8190,3561,9896,327457
43,S24.10.1,70871,49032,49325,40811,36455,20624,12028,5342,21926,10579,8645,3696,9900,339234
44,S25.10.1,72080,48710,48448,42116,38960,20502,11818,5254,22159,8747,8028,3759,9679,340260
45,S26.10.1,72238,49848,49345,42858,37636,20530,11948,5373,22019,10473,8024,3858,9376,343526
46,S27.10.1,73403,50156,50225,43994,38746,20278,12147,5385,22408,10478,7946,3871,9277,348314
47,S28.10.1,74177,51063,50112,44543,39190,20156,12174,5441,22112,10381,7927,3858,9209,350343
48,S29.10.1,74635,53998,49967,43247,39925,20045,11971,5407,21722,10138,7818,3868,9001,351742
49,S30.10.1,70808,54843,50187,42631,40017,20033,11786,9805,21818,8406,7953,3861,9292,351440
50,S31.10.1,71068,54999,49915,42758,40014,20381,11662,9729,20936,8372,7831,3892,9007,350564
51,S32.10.1,71561,55742,50458,42972,40164,20376,11540,9671,20474,8319,7725,3853,9023,351878
52,S33.10.1,72007,56244,50589,44431,40460,20499,11492,9846,20348,8302,7557,3880,9089,354744
53,S34.10.1,72549,56508,50350,45106,39592,20505,11358,9789,19817,8303,7390,3878,9099,354244
54,S35.10.1,71115,58080,48117,44041,38820,20808,10514,9298,17056,7831,7223,3731,9029,345663
55,S36.10.1,70689,58046,47536,43318,38140,20685,10328,9073,15638,7760,7040,3698,8833,340784
56,S37.10.1,70917,58897,47681,42478,37848,20648,10072,9052,14899,7621,6550,3630,8802,339095
57,S38.10.1,71031,60309,47259,40174,37117,20823,9761,9038,14529,7579,6303,3569,8762,336254
58,S39.10.1,71237,62078,47469,40831,35569,20727,9525,8841,12963,7459,6017,3475,8603,334794
59,S40.10.1,70921,64899,46731,40671,35242,20226,9208,8837,12465,7054,5744,3483,8400,333881
60,S41.10.1,70809,65947,46784,40634,35333,20126,9044,8740,12269,6892,5481,3372,8274,333705
61,S42.10.1,70895,66634,46755,40129,35044,20111,8889,8683,12003,6818,5412,3304,8253,332930
62,S43.10.1,70705,67178,46252,39374,34644,20239,8731,8594,11877,6733,5367,3263,8258,331215
63,S44.10.1,70797,67899,46798,38952,34154,20114,8572,8531,11736,6642,5284,3232,8160,330871
64,S45.10.1,71047,65710,47748,37196,36141,19657,8275,8217,11583,6146,4667,3060,7717,327164
65,S46.10.1,71758,66372,48391,33746,35940,19507,8130,8096,11632,6008,4496,3005,7658,324739
66,S47.10.1,72180,67201,48677,33208,35875,19394,7983,8091,11825,5799,4398,2944,7583,325158
67,S48.10.1,72993,68066,49025,33410,35672,19223,7829,8047,11982,5732,4339,2840,7504,326662
68,S49.10.1,73930,68630,49502,33834,35295,19072,7823,8018,12238,5651,4268,2778,7507,328546
69,S50.10.1,75418,69678,50144,33273,34488,18960,7709,8016,12737,5560,4073,2757,7400,330213
70,S51.10.1,76729,70137,50779,33653,34228,18805,7670,8013,13253,5486,3965,2718,7402,332838
71,S52.10.1,78203,70366,51232,33852,34346,18707,7724,7985,13648,5431,3867,2646,7321,335328
72,S53.10.1,79346,70424,51770,34517,34258,18527,7654,7906,13815,5329,3765,2634,7261,337206
73,S54.10.1,80636,70629,51939,35170,33997,18593,7613,7847,13875,5300,3716,2594,7226,339135
74,S55.10.1,81768,70960,52453,35929,34002,18688,7586,7797,14166,5311,3672,2556,7186,342074
75,S56.10.1,82680,71032,52722,36375,34145,18666,7582,7777,14259,5239,3573,2542,7085,343677
76,S57.10.1,83210,71402,52916,36692,34198,18624,7642,7722,14455,5165,3481,2503,7024,345034
77,S58.10.1,84275,71412,53061,37192,34115,18499,7591,7714,14468,5082,3457,2418,7036,346320
78,S59.10.1,85346,71726,53086,37584,33861,18418,7573,7700,14639,5063,3375,2381,7123,347875
79,S60.10.1,86852,72235,53249,37979,33802,18462,7516,7817,14642,5060,3381,2381,7193,350569
80,S61.10.1,87627,72578,53270,38087,33735,18389,7510,7802,14628,5064,3315,2359,7144,351508
81,S62.10.1,88696,72680,53328,38177,33487,18273,7498,7782,14673,5023,3251,2328,7151,352347
82,S63.10.1,89718,73164,53443,38184,33133,18188,7462,7786,14609,4974,3202,2291,7092,353246
83,H1.10.1,90804,73367,53345,38390,32936,18109,7449,7751,14722,4885,3153,2265,7082,354258
84,H2.10.1,92550,73794,53102,38390,32579,18094,7426,7811,14676,4897,3159,2235,7099,355812
85,H3.10.1,93493,74187,53258,38506,32380,17864,7381,7831,14652,4815,3086,2206,7087,356746
86,H4.10.1,94583,74699,53444,38509,32091,17816,7381,7872,14626,4751,3025,2141,6994,357932
87,H5.10.1,95595,75470,53784,38348,31779,17691,7342,7897,14448,4695,2965,2101,6983,359098
88,H6.10.1,96118,75989,54181,38253,31509,17681,7339,7986,14481,4634,2872,2095,6973,360111
89,H7.10.1,97314,75715,54606,38054,31077,17671,7307,8087,14405,4589,2775,2047,6951,360598
90,H8.10.1,97905,75974,54547,37916,31236,17514,7291,8109,14279,4561,2755,2016,6894,360997
91,H9.10.1,98535,76338,54823,37858,31325,17456,7221,8133,14052,4506,2655,1983,6828,361713
92,H10.10.1,98872,76391,54942,37757,31333,17382,7172,8201,14095,4485,2579,1926,6799,361934
93,H11.10.1,98987,76344,54864,37897,31098,17268,7123,8202,14076,4418,2519,1864,6676,361336
94,H12.10.1,99256,76347,54566,37790,30674,17179,7024,8083,14051,4303,2466,1798,6601,360138
95,H13.10.1,99482,76839,54216,37652,30520,17024,6926,8028,13983,4208,2408,1754,6523,359563
96,H14.10.1,99893,77113,53972,37600,30232,16844,6857,7968,14007,4108,2339,1697,6435,359065
97,H15.10.1,99781,76926,53650,37275,29874,16695,6788,7937,13944,4080,2334,1661,6417,357362
98,H16.10.1,99951,77125,53251,37136,29474,16445,6666,7875,13876,3979,2298,1634,6351,356061
99,H17.10.1,100443,77575,52709,36666,28964,16172,6619,7735,13781,3867,2234,1577,6150,354492
100,H18.10.1,100232,77724,52166,36259,28533,15973,6548,7645,13639,3779,2154,1499,6073,352224
101,H19.10.1,99901,77857,51783,35904,28214,15686,6404,7567,13597,3676,2117,1448,5965,350119
102,H20.10.1,99607,77808,51444,35594,27696,15452,6294,7496,13502,3617,2065,1410,5818,347803
103,H21.10.1,99082,77450,50998,35258,27293,15305,6177,7406,13518,3532,2025,1388,5692,345124
104,H22.10.1,98077,77600,50549,34886,26813,15137,6065,7211,13358,3424,1995,1359,5775,342249
105,H23.10.1,95142,76505,49729,34250,26230,14432,5967,7046,13038,3374,1927,1319,5262,334221
106,H24.10.1,94290,75823,49026,33920,25984,14103,5880,6894,12832,3279,1843,1276,5068,330218
107,H25.10.1,93654,75952,48508,33607,25681,13881,5796,6774,12831,3191,1802,1205,4901,327783
108,H26.10.1,93071,76428,48248,33427,25306,13693,5678,6721,12779,3117,1737,1157,4731,326093
109,H27.10.1,102549,83269,49713,35174,27448,14577,5584,6858,13963,3085,1643,1131,5243,350237
110,H28.10.1,101729,83480,49470,35001,27597,14309,5469,6817,13834,3002,1598,1095,5081,348482
111,H29.10.1,100637,83380,49326,34711,27304,14156,5353,6744,13570,2921,1543,1039,4970,345654
112,H30.10.1,99898,83307,49010,34146,26881,14129,5239,6663,13413,2832,1478,1004,4871,342871
113,R1.10.1,99221,83090,48434,33829,26633,14064,5125,6563,13304,2751,1422,954,4815,340205